ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2012,SP,,MAUA,3529401.0,35043849,43849,,95.45,3.41,1.14,77.75,17.65,4.6,78.35,,
2012,SP,,SUMARE,3552403.0,35042523,42523,,94.96,3.6,1.44,83.12,11.78,5.1,84.09,,5.11
2012,SP,,NORTE 1,3550308.0,35925500,925500,,93.87,4.77,1.36,95.65,3.95,0.4,66.6,32.79,0.61
2012,SP,,SUL 2,3550308.0,35037624,37624,,98.49,0.91,0.6,87.1,6.05,6.85,59.49,23.44,17.07
2012,SP,,SANTOS,3513504.0,35011642,11642,,95.33,4.28,0.39,78.13,21.67,0.21,,25.56,1.5
2012,SP,,LESTE 4,3550308.0,35909075,909075,,95.64,3.12,1.25,92.26,6.02,1.72,80.22,13.28,6.5
2012,SP,,GUARULHOS NORTE,3518800.0,35916821,916821,,96.74,3.02,0.23,87.46,9.9,2.64,75.74,22.61,1.65
2012,SP,,LESTE 5,3550308.0,35001776,1776,,95.52,3.59,0.9,80.41,10.31,9.28,65.02,22.66,12.32
2012,SP,,GUARULHOS SUL,3518800.0,35035725,35725,,93.8,5.43,0.78,89.42,8.2,2.38,69.44,22.62,7.94
2012,SP,,SUL 3,3550308.0,35039391,39391,,97.51,2.07,0.41,90.36,7.14,2.5,86.67,10.91,2.42
2012,SP,,,3550308.0,35901799,901799,,90.53,7.02,2.46,83.99,10.88,5.14,75.69,15.14,9.17
2012,SP,,SUL 2,3550308.0,35036705,36705,,96.95,1.29,1.76,80.76,16.54,2.7,74.35,25.35,0.31
2012,SP,,ITAPETININGA,3522307.0,35015039,15039,,82.14,16.07,1.79,88.32,4.16,7.52,66.8,9.09,24.11
2012,SP,,RIBEIRAO PRETO,3543402.0,35023978,23978,,94.44,5.09,0.46,89.98,3.66,6.36,73.19,14.37,12.44
2012,SP,,CAMPINAS OESTE,3509502.0,35045697,45697,,95.68,3.09,1.23,95.42,2.08,2.5,87.12,6.82,6.06
2012,SP,,SUL 2,3550308.0,35902305,902305,,98.4,0.53,1.06,85.81,10.17,4.02,68.39,17.69,13.92
2012,SP,,SAO JOAO DA BOA VISTA,3530508.0,35041497,41497,,92.02,6.91,1.06,88.3,7.28,4.42,76.53,12.24,11.22
2012,SP,,CAMPINAS OESTE,3509502.0,35913984,913984,,94.9,1.02,4.08,88.46,4.4,7.14,,2.6,14.72
2012,SP,,PIRACICABA,3538709.0,35020989,20989,,96.67,2.5,0.83,95.55,3.14,1.31,92.83,4.15,3.02
2012,SP,,CAMPINAS LESTE,3509502.0,35018818,18818,,75.36,24.15,0.48,65.68,27.56,6.76,48.59,31.88,19.54
2012,SP,,CAMPINAS OESTE,3509502.0,35901131,901131,,97.97,0.58,1.45,94.96,1.4,3.64,88.97,3.68,7.35
2012,SP,,CAMPINAS OESTE,3509502.0,35905461,905461,,94.78,4.23,1.0,81.34,12.77,5.89,59.54,,21.38
2012,SP,,PIRACICABA,3547007.0,35020734,20734,,94.62,3.23,2.15,93.69,1.58,4.73,89.42,1.44,9.13
2012,SP,,SUL 2,3550308.0,35914733,914733,,97.55,0.31,2.14,88.48,9.16,2.36,69.69,,9.41
2012,SP,,SUL 3,3550308.0,35005447,5447,,95.68,3.78,0.54,92.11,7.46,0.44,83.94,12.41,3.65
2012,SP,,GUARULHOS SUL,3518800.0,35036158,36158,,91.16,7.18,1.66,95.57,1.07,3.36,90.05,0.87,9.08
2012,SP,,LESTE 5,3550308.0,35001867,1867,,96.96,1.69,1.35,96.82,2.95,0.23,63.75,,14.34
2012,SP,,LESTE 1,3550308.0,35040964,40964,,91.26,7.65,1.09,84.08,9.48,6.44,73.8,12.89,13.31
2012,SP,,CENTRO SUL,3550308.0,35004327,4327,,94.47,3.36,2.17,91.19,6.67,2.14,74.56,,
2012,SP,,SUZANO,3552502.0,35046450,46450,,97.82,1.82,0.36,80.67,16.37,2.96,74.04,,6.13
2012,SP,,CARAPICUIBA,3510609.0,35035452,35452,,97.91,1.79,0.3,97.5,2.06,0.44,78.4,15.2,6.4
